Test;Size;Time (µs);GB/s
Write Throughput SRAM 0;6888;881251;1.815601
Scalar Write Throughput SRAM 0;6888;1208452;1.324008
Write Throughput;6888;503189;3.179720
Scalar Write Throughput;6888;1003723;1.594065
Read Throughput SRAM 0;7228;710455;2.252078
Scalar Read Throughput SRAM 0;7228;1204837;1.327981
Read Throughput;7228;502956;3.181193
Scalar Read Throughput;7228;1003573;1.594304
Write Throughput SRAM 0;7228;880950;1.816221
Scalar Write Throughput SRAM 0;7228;1204749;1.328077
Write Throughput;7228;503056;3.180560
Scalar Write Throughput;7228;1003573;1.594304
Read Throughput SRAM 0;7584;719506;2.223748
Scalar Read Throughput SRAM 0;7584;1211674;1.320487
Read Throughput;7584;502830;3.181990
Scalar Read Throughput;7584;1003430;1.594531
Write Throughput SRAM 0;7584;881055;1.816005
Scalar Write Throughput SRAM 0;7584;1211585;1.320584
Write Throughput;7584;502930;3.181357
Scalar Write Throughput;7584;1003430;1.594531
Read Throughput SRAM 0;7956;793129;2.017326
Scalar Read Throughput SRAM 0;7956;1298571;1.232124
Read Throughput;7956;502713;3.182730
Scalar Read Throughput;7956;1003301;1.594736
Write Throughput SRAM 0;7956;880789;1.816553
Scalar Write Throughput SRAM 0;7956;1298685;1.232015
Write Throughput;7956;502812;3.182104
Scalar Write Throughput;7956;1003301;1.594736
Read Throughput SRAM 0;8348;1044871;1.531290
Scalar Read Throughput SRAM 0;8348;1563920;1.023070
Read Throughput;8348;502599;3.183452
Scalar Read Throughput;8348;1003172;1.594941
Write Throughput SRAM 0;8348;881063;1.815988
Scalar Write Throughput SRAM 0;8348;1563528;1.023327
Write Throughput;8348;502699;3.182819
Scalar Write Throughput;8348;1003172;1.594941
Read Throughput SRAM 0;8760;1355944;1.179990
Scalar Read Throughput SRAM 0;8760;1892924;0.845253
Read Throughput;8760;502497;3.184099
Scalar Read Throughput;8760;1003065;1.595111
Write Throughput SRAM 0;8760;880471;1.817209
Scalar Write Throughput SRAM 0;8760;1892922;0.845254
Write Throughput;8760;502596;3.183471
Scalar Write Throughput;8760;1003065;1.595111
Read Throughput SRAM 0;9192;1650695;0.969289
Scalar Read Throughput SRAM 0;9192;2205185;0.725563
Read Throughput;9192;502394;3.184752
Scalar Read Throughput;9192;1002951;1.595292
Write Throughput SRAM 0;9192;880393;1.817370
Scalar Write Throughput SRAM 0;9192;2205036;0.725612
Write Throughput;9192;502493;3.184124
Scalar Write Throughput;9192;1002951;1.595292
Read Throughput SRAM 0;9644;1959905;0.816366
Scalar Read Throughput SRAM 0;9644;2541379;0.629579
Read Throughput;9644;502291;3.185405
Scalar Read Throughput;9644;1002833;1.595480
Write Throughput SRAM 0;9644;880783;1.816566
Scalar Write Throughput SRAM 0;9644;2541141;0.629638
Write Throughput;9644;502390;3.184777
Scalar Write Throughput;9644;1002831;1.595483
